Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 3/4 x 3 1/8in. (12 x 7.9cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.237
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 1/4 x 3 1/4in. (10.8 x 8.3cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.238
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 3 1/2 x 2 7/8in. (8.9 x 7.3cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.239
Vase fragments 2,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 15/16 x 1 5/16in. (5 x 3.3cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.23a b
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 1/4 x 1 1/8in. (5.7 x 2.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.240
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 x 2 5/8in. (10.2 x 6.7cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.241
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek Rhodian,Terracotta,Overall: 4 x 2 3/8in. (10.2 x 6cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.242
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 8 3/4 x 2 15/16in. (22.2 x 7.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.243
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 1/2 x 1in. (3.8 x 2.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.244
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 3/8 x 4 3/4in. (11.1 x 12cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.245
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 1/8 x 9/16in. (2.8 x 1.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.246
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 3/4 x 1 5/8in. (7 x 4.1cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.247
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 5/8 x 1 1/8in. (4.1 x 2.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.248
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 3/8 x 2 15/16in. (6 x 7.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.249
Skyphos fragments 4,Late Archaic,ca. 500–475 B.C.,Greek Attic,Terracotta; black-figure,H. 3 in. (7.6 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.250 .251
Volute-krater fragment,Archaic,late 6th century B.C.,Greek Attic,Terracotta; red-figure,Overall: 1 15/16 x 1in. (5 x 2.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.252
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 1/8 x 7/8in. (2.8 x 2.3cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.253
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 9/16 x 1 1/8in. (1.5 x 2.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.254
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 3 1/8 x 2 3/4in. (7.9 x 7cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.255
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 7/8 x 1 1/2in. (4.7 x 3.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.256
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 7/8 x 1 1/8in. (4.7 x 2.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.258
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 15/16 x 1 1/4 in. (7.5 x 3.2 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.259
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 15/16 x 1 1/8in. (5 x 2.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.260
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 3/4 x 1 7/8in. (7 x 4.7cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.261
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 15/16 x 1 3/8in. (7.5 x 3.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.262
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 3 3/8 x 1in. (8.6 x 2.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.263
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 1/8 x 3 1/2in. (10.5 x 8.9cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.264
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 3 5/8 x 2 15/16in. (9.2 x 7.5cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.265
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,H. 1 15/16 in. (5 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.266
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 15/16 x 1 7/8in. (7.5 x 4.7cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.267
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 15/16 x 1 5/16in. (7.5 x 3.4cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.268
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 1/4 x 1 1/2in. (5.7 x 3.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.269
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 3/8 x 1 1/2in. (6 x 3.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.270
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 3/8 x 1 1/2in. (6 x 3.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.271
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 3/4 x 1 11/16in. (7 x 4.3cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.272
Skyphos,NULL-PERIOD,NULL-DATE,East Greek,Terracotta,Overall: 3 1/8 x 7 3/16in. (7.9 x 18.2cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.274
Marble fragment of an Ionic column capital,Hellenistic,3rd–1st century B.C.,Greek,Marble,Other: 11 7/8 in. (30.2 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.275
Marble molding fragment from the Temple of Artemis at Sardis,Imperial Hadrianic,ca. A.D. 117–138,Roman,Marble,H.: 10 in. (25.4 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.276
Marble fragment of an anta (pilaster) capital from the Temple of Artemis at Sardis,Hellenistic,early 3rd century B.C.,Greek,Marble, H.7 1/2 W.8 D.91/2,Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.277
Marble relief fragment with the head of a youth,Late Archaic,1st quarter of 5th century B.C.,East Greek or Lydian,Marble,depth  3 1/4 in. (8.3 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.278
Marble architectural fragment with palmette from the Temple of Artemis at Sardis,Hellenistic,3rd or 2nd century B.C.,Greek,Marble,Other: 11 in. (27.9 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.279
Marble fragment of an Ionic column capital from the Temple of Artemis at Sardis,Hellenistic,3rd century B.C.,Greek,Marble,Other: 13 1/4 in. (33.7 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.280
Marble architectural fragment from the Temple of Artemis at Sardis,Hellenistic or Imperial,ca. 300 B.C.–early 2nd century A.D.,Greek or Roman,Marble,Other: 17 3/8 in. (44.1 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.281
Marble fragment of an Ionic column base from the Temple of Artemis at Sardis,Hellenistic,ca. 3rd century B.C.,Greek,Marble,Other (w/ on diagonal): 15 5/8 in. (39.7 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.282
Marble fragment of an  Ionic column capital from the Temple of Artemis at Sardis,Hellenistic or Imperial,ca. 300 B.C.–early 2nd century A.D.,Greek or Roman,Marble,Other: 16 in. (40.6 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.283
Fragment of a terracotta skyphos (deep drinking cup),Archaic,6th–5th century B.C.,Lydian,Terracotta,3 15/16in. (10cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.284
Cup fragmentary,Geometric,9th century B.C.,Greek Attic,Terracotta,2 11/16in. (6.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.285
Skyphos,Geometric,ca. 800–750 B.C.,Greek Attic,Terracotta,2 11/16in. (6.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.286
Cup fragmentary,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,3 7/8in. (9.9cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.287
Lekythos,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,5 11/16in. (14.4cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.289
Arrowhead ? with tang,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Iron,Other: 7/8 x 3 7/16 x 5/16 in. (2.2 x 8.7 x 0.8 cm),Miscellaneous-Iron,Gift of The American Society for the Excavation of Sardis 1926,26.199.290
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 2 7/8 in. (7.3 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.291
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 3/4 in. (4.4 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.292
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 1/2 in. (3.8 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.293
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 7/16 in. (3.7 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.294tempObjectNumber: 1
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 1/4 in. (3.2 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.295
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 3/8 in. (3.5 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.296
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 5/16 in. (3.3 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.297
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 3/16 in. (3 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.298
Skyphos,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,6 11/16 x 10 3/4in. (17 x 27.3cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.299
Jug,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,H. 5 13/16 in. (14.7 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.300
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,9 3/4 × 11 1/2 × 2 3/16 in. (24.8 × 29.2 × 5.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.301
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,10 3/8 × 15 1/2 × 15/16 in. (26.4 × 39.4 × 2.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.302
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,6 3/4 × 10 5/8 × 3 1/4 in. (17.1 × 27 × 8.3 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.303
Bell-krater fragment,Archaic,late 6th century B.C.,Greek Attic,Terracotta; red-figure,H. 3 7/16 in. (8.7 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.304
Bronze arrowhead,NULL-PERIOD,6th–4th century B.C. or later,Greek or Achaemenid,Bronze,Other: 1 9/16 in. (3.9 cm),Bronzes,Gift of The American Society for the Excavation of Sardis 1926,26.199.305
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 8 1/16 x 5 in. (20.5 x 12.7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.4
Terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 7 11/16 x 6 1/2 in. (19.6 x 16.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.5
Statuette of a woman,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,H. 10 13/16 in. (27.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.50
Statuette of Herakles,Classical,450–400 B.C.,East Greek/Sardis Lydian,Terracotta,H. 7 1/4 in. (18.4 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.51
Statuette of Aphrodite,Hellenistic or Early Imperial,ca. 1st century B.C.–1st century A.D.,Greek or Roman,Terracotta,H. 5 5/16 in. (13.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.52
Terracotta statuette of a youth,Hellenistic,3rd–2nd century B.C.,East Greek,Terracotta,H.: 9 1/8 in. (23.3 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.53
Terracotta vase in the form of a siren,Archaic,ca. 550–500 B.C.,East Greek Rhodian,Terracotta,length  4 3/4 in. (12 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.54
Terracotta statuette of a woman reclining on a couch,Hellenistic,probably late 3rd–2nd century B.C.,East Greek,Terracotta,Overall: 3 5/8 x 6 1/2 in. (9.2 x 16.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.55
Tile fragment cima,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 3/16 x 8 3/4 in. (10.6 x 22.2 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.56
Lamp,NULL-PERIOD,NULL-DATE,East Greek Lydian,Terracotta; black-glaze,Overall: 3 11/16 x 2 3/4 in. (9.4 x 7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.57
Lamp in the form of a grotesque head,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 x 5 in. (5.1 x 12.7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.58
Lamp in the form of a grotesque head,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 5/8 x 4 in. (4.1 x 10.2 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.59
Terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 7 7/8 x 9 3/4 in. (20 x 24.8 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.6
Glass spindle whorl,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Glass,Diameter: 7/8 × 3/16 in. (2.2 × 0.5 cm),Glass,Gift of The American Society for the Excavation of Sardis 1926,26.199.60
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 4 3/4 x 9 5/16 in. (12.1 x 23.7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.61
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,5 1/8 × 13 3/16 in. (13 × 33.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.62
Marble relief fragment,Imperial,1st–2nd century A.D.,Roman,Marble,H.: 21 x 21 5/8 in. (53.3 x 54.9 cm),Stone Sculpture,Gift of The American Society for the Excavation of Sardis 1926,26.199.63
Terracotta lydion (perfume jar),Archaic,6th century B.C.,Lydian,Terracotta,diameter  2 15/16 in. (7.5 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.64
Terracotta skyphos (drinking cup),Archaic,end of the 7th century B.C.,East Greek or Lydian,Terracotta,diameter with handles  6 9/16 in. (16.7 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.65
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,diameter  5 9/16 in. (14.2 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.66
Terracotta relief bust of a woman,Classical,2nd half of the 5th century B.C.,East Greek,Terracotta,H. 6 1/8 in. (15.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.67
Terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 6 7/8 x 6 1/4 in. (17.4 x 15.8 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.68
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 6 11/16 x 5 13/16in. (17 x 14.8cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.69
Terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 7 5/8 x 12 in. (19.4 x 30.5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.7
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 8 1/8 x 6 in. (20.6 x 15.2 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.70
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 8 7/8 x 5 1/4 in. (22.5 x 13.3 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.71
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 4 11/16 x 5 in. (11.9 x 12.7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.72
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 5 1/2 x 5 in. (14 x 12.7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.73
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 3 5/8 x 6 in. (9.2 x 15.2 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.74
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 4 7/8 x 2 1/2 in. (12.4 x 6.4 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.75
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 5 1/8 x 3 in. (13 x 7.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.76
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 3/4 x 3 in. (12.1 x 7.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.77
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 4 3/4 x 3 1/8 in. (12.1 x 7.9 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.78
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 3 7/8 x 3 9/16 in. (9.8 x 9 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.79
Terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 8 x 10 5/16 in. (20.3 x 26.2 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.8
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 5 1/2 x 4 3/4 in. (14 x 12.1 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.80
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 4 1/8 x 4 1/2 in. (10.5 x 11.4 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.81
Fragment of a terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 3 1/8 x 2 3/8 in. (7.9 x 6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.82
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 3 3/4 x 2 1/2 in. (9.5 x 6.4 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.83
Tile fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 3 3/8 x 4 3/8 in. (8.6 x 11.1 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.84
Terracotta loom weight,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,length  5 1/4 in. (13.3 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.85
Terracotta loom weight,Archaic or later,6th century B.C. or later,Lydian,Terracotta,length  3 in. (7.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.86
Terracotta loom weight,Archaic or later,6th century B.C. or later,Lydian,Terracotta,Length: 2 5/8 in. (6.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.87
Loom weight,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,length  2 in. (5.1 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.88
Terracotta loom weight,Archaic or later,6th century or later,Lydian,Terracotta,Length: 3 in (7.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.89
Terracotta architectural tile,Archaic,6th century B.C.,Lydian,Terracotta,Overall: 7 5/8 x 25 1/16in. (19.3 x 63.6cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.9
Terracotta loom weight,Archaic or later,6th century B.C. or later,Lydian,Terracotta,Length: 2 in. (5 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.90
Lamp fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 x 3 1/8 in. (2.5 x 7.9 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.91
Lamp fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 x 3 in. (2.5 x 7.6 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.92
Lamp nozzle and rim,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 2 5/16 x 3 1/4 in. (5.9 x 8.3 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.93
Lamp nozzle and rim,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 x 2 3/4 in. (2.5 x 7 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.94
Lamp nozzle and rim,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 3/4 x 4 1/2 in. (4.4 x 11.4 cm),Terracottas,Gift of The American Society for the Excavation of Sardis 1926,26.199.95
Vase fragment,NULL-PERIOD,NULL-DATE,East Greek/Sardis Lydian,Terracotta,diameter  1in. (2.5 cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.96
Vase fragment,Geometric,NULL-DATE,East Greek/Sardis Lydian,Terracotta,Overall: 1 3/4 x 1 1/2in. (4.4 x 3.8cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.97
Askos or pyxis fragments,Late Classical,ca. 400–350 B.C.,Greek Attic,Terracotta; red-figure,Overall: 1 5/8 x 1 7/8in. (4.1 x 4.7cm),Vases,Gift of The American Society for the Excavation of Sardis 1926,26.199.98 .99
Pair of gold disk and pyramid earrings,Late Classical or Hellenistic,ca. 300 B.C.,Greek South Italian,Gold,H. of pyramid  1in. (2.5cm),Gold and Silver,Funds from various donors 1926,26.209.1 .2
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,15/16 × 1 15/16 × 2 3/8 × 3/16 in. (2.4 × 4.9 × 6.1 × 0.4 cm),Vases,Gift of Elinor R. Price 1926,26.211.1
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,3/4 × 1 1/8 × 3/16 in. (1.8 × 2.9 × 0.4 cm),Vases,Gift of Elinor R. Price 1926,26.211.10
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1/2 × 7/8 × 1/16 in. (1.3 × 2.2 × 0.2 cm),Vases,Gift of Elinor R. Price 1926,26.211.11
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,15/16 × 1 5/16 × 1/8 in. (2.4 × 3.3 × 0.3 cm),Vases,Gift of Elinor R. Price 1926,26.211.12
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1/2 × 1 13/16 × 1/4 in. (1.3 × 4.7 × 0.7 cm),Vases,Gift of Elinor R. Price 1926,26.211.13
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1 1/4 × 1 11/16 × 1/8 in. (3.1 × 4.3 × 0.4 cm),Vases,Gift of Elinor R. Price 1926,26.211.2
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1 11/16 × 2 1/4 × 3/16 in. (4.3 × 5.8 × 0.4 cm),Vases,Gift of Elinor R. Price 1926,26.211.3
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1 1/4 × 15/16 × 3/16 in. (3.2 × 2.4 × 0.5 cm),Vases,Gift of Elinor R. Price 1926,26.211.4
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1 1/16 × 1 5/8 × 1/4 in. (2.6 × 4.1 × 0.7 cm),Vases,Gift of Elinor R. Price 1926,26.211.5
